service_type,age,income,family_size,docs_missing,aadhaar_linked,bank_linked,name_mismatch,father_name_mismatch,prev_rejections,operator_exp_months,rejected
ayushman,19,81786,4,1,1,1,1,1,0,42,0
caste_certificate,33,189499,5,1,1,0,0,0,0,8,1
caste_certificate,73,105465,6,2,1,1,1,0,0,12,1
income_certificate,57,237896,6,0,0,1,0,0,2,21,0
caste_certificate,74,135555,7,0,1,1,0,0,0,49,0
widow_pension,85,255617,3,2,1,1,0,0,2,38,1
widow_pension,57,249004,8,2,1,1,0,0,2,19,1
ration_card,69,114180,1,0,1,1,0,0,0,57,0
ayushman,69,204961,10,1,1,1,0,0,2,13,1
ayushman,57,254659,9,1,1,1,0,0,0,3,1
old_age_pension,50,256158,6,0,1,1,0,0,0,60,1
income_certificate,54,242465,10,0,1,1,0,0,2,46,0
caste_certificate,55,171872,8,1,1,1,0,0,1,58,1
caste_certificate,44,72425,9,1,1,0,1,0,0,43,1
ration_card,21,101997,2,1,1,1,0,1,2,57,0
caste_certificate,23,283604,2,1,1,1,0,0,0,21,1
ration_card,19,75448,6,0,1,1,0,1,3,20,0
income_certificate,52,187414,3,1,1,1,1,0,0,9,1
ayushman,75,122896,4,1,0,1,1,0,2,41,1
caste_certificate,46,61739,8,0,1,1,1,0,1,6,1
ayushman,22,131537,5,1,1,1,0,1,2,41,1
old_age_pension,84,227434,2,1,0,1,0,0,0,5,1
widow_pension,19,15002,10,1,1,0,0,0,0,58,0
ayushman,51,193969,1,1,0,1,0,1,2,54,1
old_age_pension,52,127443,9,1,1,1,0,0,0,25,1
income_certificate,27,63180,8,0,1,1,1,0,1,8,1
widow_pension,60,175796,6,1,1,1,0,0,2,47,1
old_age_pension,42,143579,7,1,1,1,0,0,0,46,1
income_certificate,40,30600,7,0,1,1,1,0,0,34,1
caste_certificate,77,264361,4,1,1,1,0,0,1,58,1
ayushman,39,239437,3,2,1,1,0,0,1,1,1
old_age_pension,46,296789,1,0,1,1,0,0,2,18,1
income_certificate,49,46791,8,0,0,1,0,0,0,15,0
caste_certificate,75,141230,2,0,1,1,1,0,2,43,1
old_age_pension,25,63399,7,2,1,1,0,0,2,60,1
old_age_pension,65,33897,6,0,1,1,0,0,0,23,0
ayushman,80,296900,3,0,1,1,0,0,3,55,1
widow_pension,29,195396,1,0,1,1,0,0,0,27,1
widow_pension,30,92183,5,0,1,1,0,0,0,46,1
income_certificate,41,156567,8,1,1,1,0,0,2,53,0
income_certificate,29,119734,3,1,0,0,0,0,0,43,0
ayushman,25,237611,2,0,0,1,1,0,1,44,1
old_age_pension,34,294900,1,1,1,1,0,0,2,1,1
income_certificate,82,103075,4,0,0,1,1,0,3,5,1
ration_card,82,39395,1,2,1,1,0,0,2,4,1
widow_pension,63,278229,7,0,1,1,0,0,1,57,1
ayushman,77,17966,3,0,1,1,0,0,1,51,0
caste_certificate,84,59007,4,0,1,1,0,0,0,5,0
income_certificate,85,276266,3,0,1,0,0,0,1,26,0
old_age_pension,24,250104,8,0,1,1,0,0,1,52,0
ration_card,79,121022,7,1,0,1,0,0,1,44,1
ration_card,85,189883,7,0,1,1,1,1,1,4,1
income_certificate,40,63706,6,0,1,1,0,0,1,4,0
ayushman,46,49414,9,0,1,0,1,0,0,14,0
widow_pension,30,231593,10,0,1,1,0,0,1,3,1
widow_pension,45,137160,5,1,1,1,1,0,1,48,1
old_age_pension,80,140446,5,2,1,1,0,0,0,60,1
ayushman,46,261362,6,0,1,1,0,0,1,42,1
ration_card,54,163765,5,0,1,1,0,0,2,14,0
ayushman,59,234183,3,3,1,0,0,0,0,7,1
ayushman,36,72985,10,1,1,1,0,0,1,35,0
caste_certificate,51,52286,3,0,1,0,0,0,0,4,0
ration_card,40,200969,6,1,1,1,0,0,3,33,1
old_age_pension,43,292165,8,1,1,1,1,0,1,21,1
ration_card,18,174233,10,0,0,1,1,0,0,40,1
ration_card,21,275503,7,0,1,1,0,0,1,46,1
widow_pension,44,26622,8,1,1,1,0,0,1,46,0
income_certificate,64,131698,8,0,1,0,0,0,0,55,0
widow_pension,42,28095,2,0,1,1,0,1,0,50,0
caste_certificate,37,110857,9,0,0,0,0,0,1,7,0
caste_certificate,51,160801,5,1,0,1,0,1,1,40,1
income_certificate,35,86707,3,0,1,1,0,0,2,47,0
widow_pension,39,128308,8,0,1,1,0,0,0,3,1
widow_pension,69,97140,9,3,0,1,0,0,0,25,1
widow_pension,26,222995,10,1,1,1,1,0,2,21,1
caste_certificate,40,294201,3,1,1,1,0,0,2,13,1
caste_certificate,80,101694,9,1,1,1,0,0,2,9,1
ayushman,53,32538,3,0,1,1,0,0,3,40,0
ration_card,44,231482,8,2,1,1,0,0,1,11,1
old_age_pension,71,27268,5,0,1,1,0,0,0,45,0
ration_card,31,139609,1,1,1,1,0,0,1,48,1
ayushman,49,132639,10,0,1,1,0,0,0,34,1
old_age_pension,49,237283,9,2,1,0,0,0,1,16,1
ration_card,83,154061,10,0,0,1,0,0,1,47,1
income_certificate,53,46825,9,1,1,1,0,0,1,2,0
ayushman,29,238625,8,1,1,1,0,0,0,42,1
ayushman,53,199791,5,0,1,1,1,0,0,14,1
ayushman,35,68418,6,0,1,0,0,0,3,34,0
old_age_pension,43,212623,5,0,1,1,0,1,2,12,1
widow_pension,80,65345,6,0,1,1,0,1,0,48,0
ration_card,57,255379,4,0,1,1,0,1,1,34,1
widow_pension,77,292746,5,0,1,1,0,0,1,6,1
widow_pension,36,299863,4,0,1,0,0,0,1,22,1
caste_certificate,71,140140,5,2,1,1,0,0,2,47,1
income_certificate,59,64806,4,0,1,1,0,1,3,53,0
old_age_pension,60,49112,6,2,1,1,0,0,0,14,1
caste_certificate,60,131142,1,0,1,1,0,0,0,42,0
old_age_pension,80,145324,9,0,1,1,0,0,0,3,0
ration_card,79,123605,3,1,0,1,0,0,1,60,1
caste_certificate,30,89658,5,0,0,1,0,0,1,2,0
caste_certificate,47,84110,7,3,1,0,0,0,0,50,0
caste_certificate,43,64062,1,0,1,1,0,1,0,45,1
ayushman,28,259006,7,0,1,1,0,0,0,49,1
ration_card,30,49019,5,0,1,1,0,0,0,50,0
widow_pension,67,230113,10,1,1,1,0,0,1,48,1
caste_certificate,19,148345,4,0,1,0,1,0,1,45,1
ayushman,50,144202,3,0,0,1,0,0,0,11,1
income_certificate,76,45061,1,1,1,0,0,0,1,47,0
income_certificate,36,161485,9,2,1,1,0,0,1,10,1
ayushman,42,198921,9,1,1,1,0,0,1,55,1
widow_pension,20,293331,3,1,1,1,0,0,0,50,1
widow_pension,43,285946,1,1,0,1,0,0,2,38,1
income_certificate,35,18688,8,1,0,1,0,0,2,48,0
old_age_pension,35,121503,10,3,1,0,0,0,0,39,1
old_age_pension,73,271068,7,1,1,1,1,0,0,12,1
ration_card,25,204660,6,0,1,1,1,0,1,56,1
ration_card,76,71973,4,0,1,0,0,0,2,42,0
ayushman,47,80531,3,0,0,1,1,0,0,18,1
income_certificate,76,190936,1,0,0,1,0,0,1,55,0
ayushman,30,201950,9,1,0,0,0,0,1,19,1
old_age_pension,44,42542,2,0,1,1,0,0,0,55,1
old_age_pension,43,18692,10,2,1,1,0,0,3,13,1
old_age_pension,74,189064,8,0,1,1,0,0,0,17,0
income_certificate,67,163302,6,0,0,1,1,0,0,46,1
widow_pension,59,53902,9,2,0,0,0,0,1,15,1
caste_certificate,49,211251,2,0,0,1,0,1,0,6,1
old_age_pension,19,184722,3,1,1,0,0,0,1,22,1
caste_certificate,56,173156,1,0,0,1,0,0,0,7,0
ration_card,55,238115,7,0,0,0,0,0,0,36,1
caste_certificate,30,198593,6,0,1,1,0,0,0,48,0
income_certificate,54,28987,7,1,1,1,1,0,1,23,1
ration_card,49,275510,4,1,1,1,0,0,2,43,1
caste_certificate,64,101667,4,1,0,1,0,1,3,29,1
widow_pension,45,135988,1,0,1,1,0,1,2,45,1
caste_certificate,68,28575,2,3,1,1,1,0,2,43,1
widow_pension,43,22437,1,1,1,1,0,0,3,16,0
old_age_pension,65,263208,3,0,1,0,0,0,3,57,1
caste_certificate,77,119330,4,0,1,1,0,0,0,55,0
ration_card,43,60969,10,0,0,1,0,0,0,13,1
old_age_pension,62,234077,10,0,1,1,0,1,3,46,1
ayushman,81,87966,8,2,1,1,0,0,0,41,0
widow_pension,26,238013,4,0,1,1,1,0,1,2,1
caste_certificate,40,153047,2,0,1,1,0,1,2,57,1
ayushman,73,74981,2,1,1,1,0,0,0,18,0
ration_card,64,121225,10,1,1,0,0,0,2,55,1
caste_certificate,82,43023,10,0,1,0,0,0,1,35,0
income_certificate,60,144417,10,0,1,1,0,0,3,8,0
widow_pension,76,257223,3,1,1,1,0,0,2,59,1
old_age_pension,62,35840,1,2,1,1,0,0,2,11,1
old_age_pension,83,247969,5,0,1,1,1,0,3,59,1
caste_certificate,29,238096,4,0,1,0,0,0,2,21,0
caste_certificate,31,140029,7,2,1,1,0,0,0,32,1
ayushman,54,171937,4,0,1,1,0,1,0,39,1
old_age_pension,52,79334,9,2,1,1,1,0,1,29,1
widow_pension,28,217073,9,0,1,1,0,0,1,38,1
ration_card,21,217613,9,0,0,1,0,0,0,60,1
old_age_pension,81,188997,3,1,1,1,0,0,0,41,1
income_certificate,24,226615,4,0,1,1,0,0,1,3,0
widow_pension,60,204822,8,1,1,0,0,0,0,2,1
ration_card,59,114538,4,1,1,1,0,0,2,42,0
widow_pension,51,280179,6,2,1,1,0,0,0,5,1
caste_certificate,38,120407,7,2,1,1,0,1,1,19,1
ration_card,79,92180,4,0,1,0,0,0,1,32,0
caste_certificate,23,49544,10,0,0,1,0,0,0,47,0
widow_pension,80,72201,8,0,1,1,1,1,1,49,0
old_age_pension,44,181814,3,1,1,1,0,0,1,3,1
ration_card,49,193943,7,0,1,1,0,0,1,22,1
old_age_pension,18,111208,4,2,1,1,0,0,1,59,1
ration_card,48,22986,2,1,0,1,0,0,0,54,1
ration_card,76,69470,9,0,1,1,1,0,2,24,0
old_age_pension,64,217693,2,0,1,1,0,0,0,5,1
ration_card,58,186058,4,1,1,1,0,0,1,54,1
ayushman,28,69808,5,0,1,1,0,0,0,22,0
income_certificate,36,174262,6,3,0,1,1,0,2,3,1
ration_card,70,289832,2,0,1,1,0,0,3,32,1
widow_pension,65,181832,6,0,1,1,0,0,0,7,1
old_age_pension,35,64605,6,0,1,1,0,0,1,2,1
ration_card,65,176464,9,0,1,1,0,0,3,58,1
ration_card,69,139515,9,1,1,0,0,0,0,39,0
caste_certificate,25,241518,9,1,0,1,0,0,0,25,1
ration_card,50,192166,10,2,1,1,0,0,3,48,1
ayushman,84,200554,3,0,1,1,0,0,2,40,0
ayushman,45,78125,7,3,0,1,0,0,1,51,1
caste_certificate,49,280957,2,0,1,1,0,0,2,43,0
widow_pension,42,238730,10,1,1,1,0,0,0,40,1
ration_card,80,34656,10,1,0,1,0,0,2,48,1
caste_certificate,57,37425,1,0,0,1,0,0,1,43,1
ayushman,78,104607,5,0,0,1,0,0,0,54,1
ration_card,71,245848,4,0,1,1,0,0,1,34,1
ayushman,18,86334,2,0,1,1,1,1,0,42,0
widow_pension,58,120939,10,1,0,1,0,0,1,2,1
ayushman,69,264460,3,0,0,0,1,0,3,5,1
widow_pension,78,82240,1,2,1,1,1,0,3,50,1
ration_card,69,160237,2,0,1,1,0,1,1,21,0
ayushman,50,149897,6,2,1,1,0,0,1,1,1
ayushman,78,270835,2,1,1,1,0,1,3,40,1
old_age_pension,44,165196,5,0,1,1,0,0,0,28,1
ayushman,70,220689,1,1,0,1,0,0,1,9,1
old_age_pension,51,131921,4,1,1,1,0,0,3,34,1
ayushman,78,101293,6,0,0,1,1,0,0,51,1
ration_card,63,154153,4,0,1,1,0,0,0,54,1
ration_card,18,260320,2,0,1,1,0,0,1,20,1
widow_pension,51,122323,3,1,1,1,0,0,1,32,1
income_certificate,65,251926,4,2,1,1,0,0,1,30,1
income_certificate,37,48956,3,1,1,0,0,0,1,24,0
widow_pension,57,219608,2,2,1,1,0,0,0,59,1
ration_card,61,153653,2,0,1,1,0,0,0,48,1
ayushman,82,65086,8,3,1,1,0,0,3,58,0
income_certificate,37,137448,7,1,1,1,0,0,2,22,0
ration_card,52,255049,9,3,1,1,0,0,0,25,1
ration_card,66,53425,2,0,1,1,1,0,3,21,0
caste_certificate,64,37631,7,0,0,1,0,0,1,42,0
widow_pension,35,26214,6,2,1,1,0,0,0,18,1
ayushman,38,173049,1,0,0,1,0,0,0,34,1
ration_card,55,213784,1,0,0,1,0,0,2,34,1
old_age_pension,33,201650,9,1,1,1,0,1,0,5,1
ration_card,69,176405,6,0,1,0,0,0,2,25,1
ayushman,83,16080,10,0,1,0,0,0,2,4,0
ration_card,23,201441,6,0,1,1,0,0,3,26,1
ayushman,36,218914,2,0,0,1,0,1,3,14,1
widow_pension,44,42649,5,1,1,1,0,0,1,58,0
widow_pension,20,251801,3,0,1,0,0,0,0,17,1
old_age_pension,38,287610,4,2,1,1,0,0,1,11,1
ayushman,37,165503,10,0,1,1,0,0,1,9,1
old_age_pension,80,18655,8,1,1,0,0,0,1,38,1
old_age_pension,71,291472,5,1,1,1,0,0,2,24,1
income_certificate,63,193458,8,1,1,1,0,0,0,48,0
caste_certificate,74,75113,6,1,0,0,0,0,1,50,1
ration_card,85,238104,5,0,1,1,0,0,2,23,1
ayushman,38,226047,4,0,1,1,0,0,0,10,1
caste_certificate,32,37052,5,1,0,1,0,0,0,40,1
income_certificate,30,190489,8,1,0,1,0,0,0,24,0
ayushman,69,48430,8,3,1,1,0,0,0,52,0
caste_certificate,76,242094,1,1,1,1,0,0,1,16,1
caste_certificate,61,199028,8,1,1,1,0,0,0,43,1
caste_certificate,69,179372,10,2,1,1,0,1,2,30,1
old_age_pension,30,258575,10,2,1,1,0,0,2,60,1
widow_pension,65,49796,4,0,1,1,0,0,2,41,0
ration_card,61,243017,7,3,1,1,0,0,0,15,1
old_age_pension,62,205123,1,1,1,1,0,0,0,30,1
caste_certificate,71,202049,3,0,0,1,0,0,1,26,0
caste_certificate,75,107501,4,1,0,1,1,0,2,8,1
old_age_pension,66,99342,3,1,1,0,1,1,0,40,1
ration_card,28,214136,1,2,1,0,0,0,0,26,1
ayushman,66,290895,5,3,1,1,0,0,0,17,1
widow_pension,38,182454,1,0,1,1,0,1,0,52,1
old_age_pension,20,179170,4,0,1,1,0,0,1,33,1
ration_card,43,126698,6,1,1,0,0,1,1,36,0
ration_card,31,127133,6,0,1,1,0,0,1,2,0
widow_pension,52,20572,3,0,1,0,1,0,1,10,0
ayushman,53,154286,1,2,1,1,0,0,1,14,1
ayushman,63,171247,3,1,1,0,0,1,0,8,1
old_age_pension,76,71091,6,0,1,1,0,0,1,26,0
income_certificate,80,246616,6,0,1,1,0,0,0,44,0
old_age_pension,72,80057,2,2,1,1,0,0,2,58,1
ration_card,36,89315,4,0,1,1,0,0,1,7,0
income_certificate,22,271257,7,2,1,1,0,0,1,58,1
caste_certificate,54,111805,8,0,1,0,0,0,0,28,0
ayushman,34,27403,4,1,1,1,0,1,1,45,0
old_age_pension,33,193860,10,1,0,1,0,0,1,39,1
widow_pension,28,219054,5,1,1,1,0,0,0,58,1
widow_pension,57,262128,8,3,1,1,0,0,0,40,1
caste_certificate,48,93694,5,1,1,0,0,0,1,31,0
widow_pension,52,136064,8,0,1,1,0,0,3,54,1
income_certificate,56,39069,1,1,1,1,1,0,0,51,1
caste_certificate,65,37677,4,2,1,1,0,0,0,39,1
ration_card,61,90474,1,2,1,1,0,0,0,33,1
old_age_pension,81,107722,7,0,1,1,0,0,0,25,0
ration_card,26,254402,10,0,1,1,0,0,3,27,1
caste_certificate,36,195209,6,0,1,1,0,1,3,35,1
caste_certificate,55,183882,1,1,0,1,0,0,0,60,1
ration_card,65,82638,6,0,1,0,1,0,2,57,0
caste_certificate,48,212005,7,1,1,1,1,0,1,22,1
ayushman,82,187015,8,0,1,1,0,0,0,27,1
caste_certificate,74,283854,10,2,0,1,0,0,2,51,1
old_age_pension,50,238359,3,1,1,1,0,0,0,6,1
widow_pension,21,133979,9,0,1,1,0,0,0,28,1
old_age_pension,57,192579,1,3,1,1,0,0,0,41,1
widow_pension,79,29024,1,1,0,1,0,0,0,3,0
income_certificate,48,165027,2,0,1,0,0,0,0,14,0
old_age_pension,72,52756,3,1,0,1,0,0,0,32,1
income_certificate,60,154270,5,0,0,1,0,0,0,20,0
widow_pension,60,222260,7,1,1,1,0,0,0,57,1
old_age_pension,34,289481,1,0,1,1,0,1,1,51,0
widow_pension,77,137759,3,0,1,0,0,0,2,23,1
ayushman,62,221887,3,0,0,1,1,0,0,51,1
widow_pension,28,193487,7,1,1,0,0,0,0,24,1
caste_certificate,29,298172,6,1,1,0,0,1,1,6,1
widow_pension,49,65140,2,0,1,1,0,0,1,22,0
income_certificate,79,178989,4,0,1,1,0,0,1,13,0
widow_pension,43,270657,1,2,1,0,0,0,0,8,1
widow_pension,54,18153,2,0,1,1,1,0,0,53,0
income_certificate,25,294450,3,0,1,1,0,1,1,29,0
old_age_pension,39,180730,2,0,0,1,0,0,1,35,1
ayushman,45,127538,7,1,0,1,0,0,3,4,1
widow_pension,79,54716,7,0,1,1,0,0,0,59,0
caste_certificate,68,77136,4,1,1,1,0,0,1,33,1
caste_certificate,53,298595,2,2,0,1,0,0,1,28,1
old_age_pension,43,48481,9,0,1,1,0,0,2,37,1
old_age_pension,81,136372,7,1,1,1,0,0,0,23,1
income_certificate,36,143491,5,0,1,1,0,0,0,53,0
ayushman,29,106811,10,0,0,1,0,0,1,18,1
caste_certificate,67,164381,9,0,1,1,0,0,0,14,0
ayushman,51,113227,6,0,1,1,0,0,2,6,1
caste_certificate,62,289482,1,0,1,1,0,0,0,52,0
widow_pension,62,85806,4,2,1,1,0,0,1,14,1
old_age_pension,55,243672,1,2,1,0,0,0,0,3,0
old_age_pension,21,27874,9,1,1,1,0,0,1,35,1
old_age_pension,36,254545,10,2,1,1,0,0,0,18,1
ration_card,71,274517,5,0,1,1,0,0,0,1,1
ayushman,71,162840,10,2,1,1,0,0,1,26,1
caste_certificate,73,181082,5,1,1,1,0,0,0,29,1
ayushman,40,143007,5,1,0,1,0,0,2,49,1
caste_certificate,23,87586,8,3,1,1,0,0,2,33,1
ration_card,22,243703,6,0,1,1,0,0,2,52,1
caste_certificate,66,111402,3,2,1,1,0,0,1,1,1
old_age_pension,30,73975,2,2,0,1,0,0,0,53,1
old_age_pension,46,83094,2,2,1,1,0,0,2,32,0
ration_card,39,267420,2,1,0,1,0,0,2,45,1
caste_certificate,36,149588,7,2,1,1,0,0,2,22,1
ration_card,78,294151,1,0,1,0,0,0,0,5,1
ayushman,80,89990,3,0,1,0,0,0,1,49,0
ayushman,40,145306,8,2,1,1,1,0,0,35,1
income_certificate,37,113167,9,2,1,1,0,0,2,29,1
income_certificate,70,70273,6,0,1,1,0,0,1,13,0
ration_card,80,287214,5,1,1,1,0,0,1,19,1
widow_pension,20,108883,6,2,1,0,0,0,2,56,1
caste_certificate,50,112115,10,2,0,1,0,0,3,24,1
ration_card,19,206965,10,3,0,1,0,0,2,52,1
caste_certificate,26,113616,4,1,0,1,0,1,1,58,1
widow_pension,42,272779,2,1,1,1,0,0,1,50,1
caste_certificate,83,216721,5,0,1,1,0,0,0,52,0
ayushman,51,140074,4,0,1,1,0,0,2,9,0
income_certificate,41,197264,9,1,1,1,0,0,1,52,0
income_certificate,47,296153,8,2,1,0,0,1,0,20,1
old_age_pension,19,201785,8,1,1,1,0,0,2,56,1
caste_certificate,49,245947,10,3,1,1,0,0,3,49,1
widow_pension,82,188496,7,0,1,1,1,0,3,59,1
ayushman,26,240097,3,1,1,1,1,0,2,49,1
caste_certificate,76,25524,8,1,1,0,1,0,0,10,1
caste_certificate,39,202799,2,2,1,1,1,1,2,42,1
old_age_pension,71,282639,6,0,1,0,0,0,3,40,1
old_age_pension,58,179995,5,0,1,1,0,0,2,26,1
income_certificate,37,157491,8,3,0,1,0,0,2,49,1
income_certificate,54,105495,6,0,1,1,0,0,0,56,0
caste_certificate,78,234113,4,0,1,1,0,0,1,46,0
ration_card,60,171665,4,0,1,0,0,0,1,17,1
ration_card,44,88315,3,0,0,1,0,1,0,34,1
caste_certificate,66,226454,4,0,1,1,0,0,0,50,0
old_age_pension,75,237152,4,0,1,1,0,0,0,24,1
income_certificate,81,256807,6,0,1,1,1,0,2,21,1
ayushman,70,294219,7,0,0,1,0,0,1,2,1
income_certificate,81,147184,10,0,0,1,0,0,1,3,0
old_age_pension,56,296447,7,2,0,1,0,0,1,11,1
ayushman,34,32021,9,0,1,1,0,0,0,7,0
old_age_pension,25,60643,5,2,1,1,1,0,3,38,1
ration_card,74,143020,5,0,1,1,0,0,0,8,0
income_certificate,49,163483,2,0,1,1,0,0,1,37,0
caste_certificate,35,155980,10,0,1,0,0,0,1,19,0
old_age_pension,39,235091,6,0,1,1,0,1,0,45,1
income_certificate,48,253854,6,3,0,1,0,0,0,42,1
ayushman,21,163992,4,1,0,1,0,0,0,59,1
income_certificate,68,172275,2,0,1,0,1,0,1,3,1
widow_pension,76,144803,5,1,1,0,0,0,1,13,1
widow_pension,37,279684,6,0,1,1,0,0,1,27,1
ration_card,59,87628,3,0,0,1,0,0,0,24,1
widow_pension,82,118939,4,1,1,0,1,0,0,43,1
ration_card,54,196375,5,2,1,1,0,0,2,27,1
ration_card,79,171877,8,1,1,1,0,0,2,21,1
ration_card,51,277663,7,0,1,1,0,0,0,24,1
income_certificate,81,292563,6,0,1,1,0,0,3,33,0
ayushman,69,227378,1,1,1,1,0,0,2,36,1
income_certificate,59,206717,2,0,1,1,0,0,2,49,0
ration_card,78,245597,2,0,1,1,0,0,0,58,1
income_certificate,18,105101,5,0,1,1,0,0,2,51,0
ration_card,49,96893,6,0,1,1,0,0,3,14,0
ration_card,65,176062,1,1,0,1,0,0,0,27,1
income_certificate,68,293565,4,1,1,1,0,0,0,34,0
caste_certificate,76,225091,7,2,1,1,0,0,1,56,1
caste_certificate,20,143672,6,1,1,1,0,0,2,22,1
widow_pension,65,203029,2,0,1,1,1,0,0,60,1
ayushman,52,149519,4,0,1,1,0,0,0,17,1
ayushman,78,297647,2,0,1,1,0,0,0,25,1
ayushman,83,295817,4,0,0,1,0,0,0,38,1
widow_pension,27,61594,2,0,1,1,0,1,3,25,0
widow_pension,43,71315,9,0,1,0,0,1,0,30,0
widow_pension,43,275365,4,1,1,1,1,0,2,9,1
widow_pension,28,291854,6,0,1,1,0,0,1,15,1
widow_pension,70,207629,8,0,1,0,0,1,0,44,1
income_certificate,43,59523,9,0,1,1,0,0,3,37,0
ration_card,74,186616,10,1,1,0,0,0,0,57,1
widow_pension,43,15390,5,1,0,0,0,1,0,9,0
caste_certificate,72,26111,10,2,1,0,0,0,0,15,1
old_age_pension,64,199537,5,1,1,1,0,0,0,59,1
ration_card,31,21925,4,0,1,1,0,0,3,1,0
ayushman,20,87340,2,2,1,0,1,0,2,18,0
ayushman,85,46880,8,0,1,1,0,0,0,39,0
old_age_pension,62,21655,5,0,1,1,0,0,1,43,0
income_certificate,44,161918,4,2,1,1,1,0,2,11,1
caste_certificate,23,109287,1,0,1,1,0,0,0,47,0
ration_card,75,295077,1,0,1,1,0,0,3,35,0
ayushman,77,233028,5,0,1,1,0,0,1,30,1
income_certificate,62,70453,8,0,1,1,0,0,0,1,0
old_age_pension,84,152218,4,1,1,0,0,0,2,46,1
ration_card,64,178121,3,0,1,1,0,0,1,50,1
income_certificate,49,73189,6,1,1,1,0,0,1,34,0
ration_card,55,54421,8,0,1,1,0,0,1,36,0
caste_certificate,66,26257,2,0,0,1,0,0,1,33,0
widow_pension,69,129113,5,0,1,1,0,0,1,1,1
income_certificate,71,21266,7,0,1,1,1,0,0,33,1
caste_certificate,33,113124,7,1,1,1,0,0,0,39,1
ayushman,70,205157,9,0,1,1,0,0,1,57,1
income_certificate,64,157200,5,1,0,1,0,0,2,27,0
ayushman,48,244717,2,0,1,0,0,0,2,29,1
caste_certificate,50,224814,5,0,1,1,0,0,2,43,0
ration_card,38,280113,5,0,1,1,0,0,3,20,1
caste_certificate,62,155901,9,0,1,1,0,0,1,21,0
caste_certificate,19,55453,3,3,1,1,1,1,0,51,1
ration_card,77,126089,9,1,1,1,0,0,2,24,0
ayushman,48,199459,1,3,1,1,0,0,0,34,1
ayushman,48,155178,8,1,1,0,0,1,0,13,1
widow_pension,61,141455,6,2,1,0,0,0,1,37,1
ayushman,48,63501,2,2,0,1,0,0,1,40,1
ration_card,45,293212,8,1,1,0,0,0,0,5,1
